City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Key Largo,US,84.99,Clouds,25.09,-80.45,Bayside Inn Key Largo
6,Yellowknife,CA,82.4,Clouds,62.46,-114.35,The Explorer Hotel
8,Georgetown,MY,82.4,Clouds,5.41,100.34,Cititel Penang
9,Lufilufi,WS,81.7,Clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
10,Sola,VU,84.2,Clouds,-13.88,167.55,Leumerus Bungalows
16,Chauk,MM,83.03,Rain,20.88,94.82,Bo Khin Guest House
21,Gushikawa,JP,87.8,Clouds,26.35,127.87,Kirari Guest House
22,Atuona,PF,78.84,Clear,-9.8,-139.03,Villa Enata
23,Bastia,FR,80.01,Clouds,42.67,9.33,Hotel Santa Maria
37,Narasannapeta,IN,82.0,Clouds,18.42,84.05,G.lingaraju home
38,Butaritari,KI,82.94,Clear,3.07,172.79,Isles Sunset Lodge
45,La Ronge,CA,80.6,Clouds,55.1,-105.28,Northland Motor Hotel
48,Victoria,HK,80.01,Rain,22.29,114.16,Mini Hotel Central
49,Lewistown,US,84.2,Clear,40.6,-77.57,Quality Inn & Suites
50,Madison,US,82.99,Clear,34.73,-86.57,Embassy Suites by Hilton Huntsville Hotel & Spa
52,Lucea,JM,86.0,Clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
53,Gat,IL,75.0,Clear,31.61,34.76,רגע בנחת
61,Praia,CV,80.6,Clouds,14.92,-23.51,LT Aparthotel
63,Hamilton,US,78.01,Clear,39.18,-84.53,Six Acres Bed & Breakfast
65,Trincomalee,LK,81.18,Clouds,8.57,81.23,Welcombe Hotel
71,Hami,CN,83.55,Clouds,42.8,93.45,Laoyutang Resort
77,Hilo,US,86.0,Clear,19.73,-155.09,Hilo Hawaiian Hotel
82,Portland,US,88.0,Clouds,45.52,-122.68,Portland Marriott City Center
89,Broome,US,82.4,Clouds,42.25,-75.83,Chenango Valley State Park
92,Kapaa,US,82.4,Clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
94,Mayo,US,88.0,Clear,38.89,-76.51,Resorts Resource Group International
96,Cape Canaveral,US,82.4,Drizzle,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
97,Meulaboh,ID,76.15,Clouds,4.14,96.13,Kost Pria
99,Katastarion,GR,80.6,Clear,37.83,20.77,Amoudi Studios Apartments Hotel
100,Dingle,PH,82.26,Clouds,11.0,122.67,Camp Pasica
105,Guangyuan,CN,78.01,Clear,32.44,105.82,Guangyuan Poetry Hotel
116,San Cristobal,VE,86.0,Clouds,7.77,-72.22,Pirineos
117,Umm Lajj,SA,86.95,Clouds,25.02,37.27,Moon light Furnished Units
122,Maningrida,AU,75.51,Clouds,-12.07,134.27,Dhukurrdji Lodge
126,Korla,CN,80.87,Clouds,41.76,86.15,Gulisitan Hotel
127,Norman Wells,CA,80.6,Clouds,65.28,-126.83,Heritage Hotel
136,Clemencia,CO,86.0,Clouds,10.57,-75.33,URBANIZACION SAN JOSE
145,Gorontalo,ID,75.88,Clouds,0.54,123.06,Maqna Hotel by Prasanthi
146,Kahului,US,87.8,Clouds,20.89,-156.47,Maui Seaside Hotel
147,Zuwarah,LY,84.74,Clear,32.93,12.08,سالمة نورالدين المخزوم الزليطني
149,Salalah,OM,80.6,Clouds,17.02,54.09,HAMDAN PLAZA HOTEL
150,Faanui,PF,78.64,Clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
151,Sinjar,IQ,81.61,Clear,36.32,41.88,زوماني فون 1
155,Pochutla,MX,86.0,Clouds,15.74,-96.47,Hotel Posada San Jose
156,Ugoofaaru,MV,82.13,Rain,5.67,73.0,Ungoofaaru Inn
158,Vaini,TO,77.0,Clouds,-21.2,-175.2,Keleti Beach Resort
160,Gongzhuling,CN,75.2,Clouds,43.5,124.82,如家旅馆
161,Aquidauana,BR,76.33,Clear,-20.47,-55.79,HOTEL ARARAS
164,The Valley,AI,84.2,Clouds,18.22,-63.06,CeBlue Villas & Beach Resort
165,Greeley,US,82.4,Clear,40.42,-104.71,Fairfield Inn & Suites by Marriott Greeley
167,Tuxpan,MX,84.2,Rain,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
168,Springdale,US,82.4,Clouds,36.19,-94.13,Springdale Inn
170,Hithadhoo,MV,83.1,Clouds,-0.6,73.08,Scoop Guest House
171,Bethel,US,80.6,Clear,41.37,-73.41,Courtyard by Marriott Danbury
172,Takanabe,JP,80.6,Clouds,32.13,131.5,Hotel AZ Miyazaki Takanabe
173,Half Moon Bay,US,78.01,Clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
174,Isla Mujeres,MX,84.2,Clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
176,Tautira,PF,84.2,Clouds,-17.73,-149.15,Pension Oaoa
177,San Policarpo,PH,83.79,Rain,12.18,125.51,Zal-Ann Beach Resort
185,Kolokani,ML,77.05,Clouds,13.57,-8.03,Lycee Famolo Coulibalibali De Kolokani
190,Kavieng,PG,84.56,Clouds,-2.57,150.8,Nusa Island Retreat
192,Katsuura,JP,82.0,Clouds,35.13,140.3,Katsuura Hotel Mikazuki
194,Yichang,CN,85.51,Clouds,30.71,111.28,Gezhouba Hotel
195,Sabang,ID,82.78,Clouds,5.89,95.32,Hotel Citra
196,Nanakuli,US,89.6,Clouds,21.39,-158.15,Camp Palehua
208,Casablanca,MA,75.0,Clear,33.59,-7.62,Hotel Moroccan House Casablanca
210,Marrakesh,MA,87.8,Clouds,31.63,-8.01,Les Jardins de La Koutoubia
213,Iralaya,HN,86.0,Clouds,15.0,-83.23,Iglesia morava renovada
214,Roma,US,87.8,Clouds,43.21,-75.46,Wingate By Wyndham Rome
216,Cockburn Town,TC,82.15,Clear,21.46,-71.14,Osprey Beach Hotel
220,Dandong,CN,76.3,Clouds,40.13,124.39,Yiranju Farmstay
225,Touros,BR,75.2,Clouds,-5.2,-35.46,INN NEW HORIZON
228,Quang Ngai,VN,80.78,Clouds,15.12,108.8,Central Hotel
229,Rawlins,US,86.0,Rain,41.79,-107.24,Holiday Inn Express Rawlins
